Month,Opening Principal Balance,Rates,Cashflow,Interest Paid,Principal Paid,Closing Princial Balance
187,687131.2792718102,0.05809999999999999,5873.900013624854,3326.8606104742976,2547.0394031505566,684584.2398686596
188,684584.2398686596,0.05809999999999999,5873.900013624854,3314.52869469747,2559.371318927384,682024.8685497323
189,682024.8685497323,0.05809999999999999,5873.900013624854,3302.1370718949947,2571.7629417298594,679453.1056080024
190,679453.1056080024,0.05809999999999999,5873.900013624854,3289.6854529853917,2584.2145606394624,676868.8910473629
191,676868.8910473629,0.05809999999999999,5873.900013624854,3277.173547487637,2596.7264661372174,674272.1645812257
192,674272.1645812257,0.0622,6137.673802033041,16600.43824779193,-10462.76444575889,684734.9290269846
193,684734.9290269846,0.0622,6137.673802033041,3549.2093821232884,2588.464419909753,682146.4646070749
194,682146.4646070749,0.0622,6137.673802033041,3535.7925082132897,2601.8812938197516,679544.5833132551
195,679544.5833132551,0.0622,6137.673802033041,3522.3060901737517,2615.3677118592896,676929.2156013958
196,676929.2156013958,0.0622,6137.673802033041,3508.7497675338273,2628.924034499214,674300.2915668966
197,674300.2915668966,0.0622,6137.673802033041,3495.1231779551345,2642.550624077907,671657.7409428187
198,671657.7409428187,0.0622,6137.673802033041,3481.425957220232,2656.2478448128095,669001.4930980059
199,669001.4930980059,0.0622,6137.673802033041,3467.657739224818,2670.016062808223,666331.4770351977
200,666331.4770351977,0.0622,6137.673802033041,3453.8181559657423,2683.855646067299,663647.6213891304
201,663647.6213891304,0.0622,6137.673802033041,3439.9068375336683,2697.766964499373,660949.854424631
202,660949.854424631,0.0622,6137.673802033041,3425.9234121009686,2711.7503899320727,658238.1040346989
203,658238.1040346989,0.0622,6137.673802033041,3411.8675059132256,2725.8062961198157,655512.2977385791
204,655512.2977385791,0.0618,6111.717594589232,2074.1361162386693,4037.581478350563,651474.7162602285
205,651474.7162602285,0.0618,6111.717594589232,3355.0947887401653,2756.622805849067,648718.0934543795
206,648718.0934543795,0.0618,6111.717594589232,3340.898181290142,2770.8194132990902,645947.2740410804
207,645947.2740410804,0.0618,6111.717594589232,3326.628461311464,2785.0891332777683,643162.1849078026
208,643162.1849078026,0.0618,6111.717594589232,3312.2852522753037,2799.4323423139285,640362.7525654887
209,640362.7525654887,0.0618,6111.717594589232,3297.8681757121904,2813.849418877042,637548.9031466116
210,637548.9031466116,0.0618,6111.717594589232,3283.376851205141,2828.340743384091,634720.5624032276
211,634720.5624032276,0.0618,6111.717594589232,3268.810896376506,2842.906698212726,631877.6557050148
212,631877.6557050148,0.0618,6111.717594589232,3254.169926880868,2857.5476677083643,629020.1080373065
213,629020.1080373065,0.0618,6111.717594589232,3239.453556392118,2872.264038197114,626147.8439991093
214,626147.8439991093,0.0618,6111.717594589232,3224.6613965954257,2887.0561979938066,623260.7878011155
215,623260.7878011155,0.0618,6111.717594589232,3209.793057175828,2901.9245374134043,620358.8632637021
216,620358.8632637021,0.061700000000000005,6105.2359555838375,2857.4886533220742,3247.7473022617633,617111.1159614404
217,617111.1159614404,0.061700000000000005,6105.2359555838375,3172.979654568455,2932.2563010153826,614178.859660425
218,614178.859660425,0.061700000000000005,6105.2359555838375,3157.902970087456,2947.3329854963813,611231.5266749286
219,611231.5266749286,0.061700000000000005,6105.2359555838375,3142.7487663202664,2962.487189263571,608269.039485665
220,608269.039485665,0.061700000000000005,6105.2359555838375,3127.5166446887633,2977.719310895074,605291.32017477
221,605291.32017477,0.061700000000000005,6105.2359555838375,3112.2062045654493,2993.029751018388,602298.2904237516
222,602298.2904237516,0.061700000000000005,6105.2359555838375,3096.8170432620427,3008.418912321795,599289.8715114298
223,599289.8715114298,0.061700000000000005,6105.2359555838375,3081.348756021329,3023.8871995625086,596265.9843118673
224,596265.9843118673,0.061700000000000005,6105.2359555838375,3065.8009360035394,3039.435019580298,593226.549292287
225,593226.549292287,0.061700000000000005,6105.2359555838375,3050.173174277854,3055.0627813059837,590171.486510981
226,590171.486510981,0.061700000000000005,6105.2359555838375,3034.465059810642,3070.7708957731957,587100.7156152078
227,587100.7156152078,0.061700000000000005,6105.2359555838375,3018.6761794549857,3086.559776128852,584014.155839079
228,584014.155839079,0.051000000000000004,5429.497734004053,-34031.57463166362,39461.07236566767,544553.0834734113
229,544553.0834734113,0.051000000000000004,5429.497734004053,2314.350604762094,3115.147129241959,541437.9363441693
230,541437.9363441693,0.051000000000000004,5429.497734004053,2301.1112294625527,3128.3865045415005,538309.5498396278
231,538309.5498396278,0.051000000000000004,5429.497734004053,2287.815586818502,3141.682147185551,535167.8676924423
